# Depth (Er)	r	theta (deg)	alpha (deg)	tx wannier (Er)	ty wannier (Er)	td wannier (Er)	wannier integral (Er)	tx bs (Er)	ty bs (Er)	td bs(Er)	mean 0->d1	gap 0->d1	bw d1	mean 0->d2	gap 0->d2	bw d2	mean 0->d3	gap 0->d3	bw d3
5.000000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	6.765282465683119357e-05	1.776313337745492936e-04	2.568277028933965724e-08	9.990371633475383817e+00	6.186218024596614080e-05	4.173046324014223138e-05	1.368324115689004139e-09	2.297222588271800348e+01	2.288867161303722497e+01	1.700646116075166248e-01	2.368859778318906351e+01	2.365638246988253712e+01	6.277281791740740857e-02	2.423929386462339863e+01	2.415029047470916623e+01	1.786684497423287610e-01
5.500000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	4.445029353446257477e-05	1.049741106690022842e-04	9.469009666425326303e-09	1.053681531973273522e+01	3.385589318176916718e-05	2.236652608866244313e-05	8.842644108912264822e-09	2.439686589458039379e+01	2.434509544493031541e+01	1.046562277659326412e-01	2.510953343174620045e+01	2.509104172453637460e+01	3.624053623468626029e-02	2.567303342826537360e+01	2.561675096740739122e+01	1.129043173189945293e-01
6.000000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	2.902163466938279237e-05	6.316033498407987493e-05	3.641231203817052873e-09	1.105847023686939856e+01	1.896303971015801803e-05	1.228197539068022694e-05	1.393574100987511046e-08	2.575000922298792005e+01	2.571776083942930313e+01	6.493504040404118882e-02	2.646189470676087296e+01	2.645108179405510995e+01	2.128198381841173159e-02	2.703740237127901480e+01	2.700158584882651880e+01	7.181114233408791847e-02
6.500000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.893305055798318094e-05	3.861679122564271418e-05	1.453444406181806978e-09	1.155844290158457710e+01	1.083748410043582251e-05	6.893304453509064775e-06	1.705096614921207399e-08	2.704201355877318846e+01	2.702177867382389209e+01	4.065130383154524907e-02	2.775506719084104290e+01	2.774863628576333952e+01	1.269676408648123811e-02	2.834190877193022828e+01	2.831894614061719651e+01	4.602078229795125708e-02
7.000000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.237922561316826357e-05	2.395482154904105134e-05	5.998287459416271288e-10	1.203923875165800794e+01	6.308292670979473438e-06	3.942192246090842761e-06	1.681029476231256370e-08	2.828081916622762293e+01	2.826801817391787353e+01	2.568204435063492497e-02	2.899640520039219638e+01	2.899252092429007277e+01	7.686287320723295124e-03	2.959406769862363262e+01	2.957922932657010051e+01	2.972913652851616462e-02
7.500000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	8.126260277434958434e-06	1.505640406258694733e-05	2.550850737016606986e-10	1.250291378206997273e+01	3.736586795406813405e-06	2.292450097433158460e-06	1.679003097188394578e-08	2.947270413284737245e+01	2.946453708551757344e+01	1.637191418797812048e-02	3.019181576005347267e+01	3.018943632711792802e+01	4.716310485669339414e-03	3.079991419397698138e+01	3.079024880117338014e+01	1.936018214628987266e-02
8.000000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	5.360897787845096961e-06	9.577989814509938537e-06	1.114659679694761593e-10	1.295118016444724951e+01	2.245921361578278125e-06	1.352156161894739805e-06	1.638913354829538335e-08	3.062275532510068388e+01	3.061750052308927650e+01	1.052873948709986962e-02	3.134613834395740284e+01	3.134466177564465639e+01	2.930330886055543260e-03	3.196437810452219708e+01	3.195803242315450632e+01	1.270822720701403341e-02
8.500000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	3.556038688226450099e-06	6.160760246288245686e-06	4.992289168319252290e-11	1.338548188425385277e+01	1.367579582184665134e-06	8.078818341197024720e-07	1.582736318951719305e-08	3.173517504580204829e+01	3.173176597318442305e+01	6.828451978250882348e-03	3.246340262684353206e+01	3.246247535287761821e+01	1.841919786684798055e-03	3.309155077188692928e+01	3.308735247344361596e+01	8.406478235137626598e-03
9.000000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	2.372425531519195102e-06	4.003488966132454644e-06	2.287253886928054402e-11	1.380705020446448827e+01	8.387495070449370316e-07	4.899199433131516679e-07	1.588499518034858227e-08	3.281348952910655470e+01	3.281126013560466248e+01	4.464637656795389375e-03	3.354700977727279820e+01	3.354642099976596370e+01	1.170352277604536084e-03	3.418487540913045564e+01	3.418207712555128097e+01	5.602471372476713896e-03
9.500000000000000000e+01	9.000000000000000222e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.592053379641449733e-06	2.626457216557298539e-06	1.069899914800161713e-11	1.421694517700415972e+01	5.299141633103524734e-07	2.926687098167308348e-07	1.662366310535220992e-08	3.386069613450050042e+01	3.385922696140102772e+01	2.941807962024256540e-03	3.459986378166251342e+01	3.459948608391858471e+01	7.511774270412274745e-04	3.524728508265593518e+01	3.524540658888865607e+01	3.760578910330991675e-03
